iter	Logloss
0	0.6626736066
1	0.6391414217
2	0.6102105238
3	0.5869275079
4	0.5698673346
5	0.5553053845
6	0.542151142
7	0.5307494565
8	0.5203801515
9	0.5111982317
10	0.5027992449
11	0.4947361575
12	0.4880890034
13	0.4821105986
14	0.4765041827
15	0.4714426619
16	0.4674671899
17	0.4628074939
18	0.458464874
19	0.4554261019
